Title,Culture,Dynasty,Date,Period,Material,object_Type,Path
RC-2822 - Meshet Coffin,Egyptian,11 - 12TH,2040 - 1782 BCE,Middle Kingdom,Wood,Funerary,530.jpg
RC-2861 - Brick,Mesopotamian,,,,Glazed Clay,Babylonian,7.jpg
RC-2862 - Brick,Mesopotamian,,,,Glazed Clay,Babylonian,137.jpg
RC-2863 - Brick,Mesopotamian,,,,Glazed Clay,Babylonian,610.jpg
RC-2864 - Brick,Mesopotamian,,,,Glazed Clay,Babylonian,328.jpg
RC-2928 - Bowl,Mesopotamian,,1000 BCE,,Clay,Persian,796.jpg
RC-2929 - Bowl,Mesopotamian,,1000 BCE,,Clay,Persian,629.jpg
RC-2930 - Bowl,Mesopotamian,,1000 BCE,,Clay,Persian,577.jpg
RC-2973 - Relief Fragment,Egyptian,5 - 6TH,2524-2250 BCE,Old Kingdom,Limestone,Epigraphy,391.jpg
RC-2990 - Offering Table,Egyptian,12TH DYNASTY,1994-1781 BCE,Middle Kingdom,Limestone,,324.jpg
RC-2991 - Cippus,Egyptian,,100 BCE-100 CE,Greco-Roman,Limestone,,553.jpg
RC-2992 - Cylinder,Egyptian,,1080-746 BCE,3rd Intermediate,Faience Egyptian Blue,,513.jpg
RC-2995 - Mummy Mask Fragment,Egyptian,,1550-1080 BCE,New Kingdom,Terracotta,,909.jpg
RC-1676 - Cat Mummy,Egyptian,21ST,1090 - 945 BCE,3rd Intermediate,Animal Remains,Funerary,928.jpg
RC-4864 - Pottery Fragment,Egyptian,,,,Clay,Vessels,259.jpg
RC-4865 - Pottery Fragment,Egyptian,,,,Clay,Vessels,523.jpg
RC-4866 - Pottery Fragment,Egyptian,,,,Clay,Vessels,749.jpg
RC-4867 - Pottery Fragment,Egyptian,,,,Clay,Vessels,737.jpg
RC-2214 - Boat Model,Egyptian,12TH,1991-1784 BCE,Middle Kingdom,Cedar Wood,Funerary,10.jpg
RC-1718 - Corn Mummy,Egyptian,27-30TH,1549-1069 BCE,Late Period,Wood,Funerary,449.jpg
RC-1637 - Akhenaten Ring,Egyptian,18TH,1353 - 35 BCE,Amarna,Bronze,Jewelry,611.jpg
RC-2986 - Cleopatra Vii Coin,Egyptian,,51 - 30 BCE,Ptolemaic,,Coins,5.jpg
RC-602 - Snake Mummy in Box,Egyptian,,332 - 323 BCE,Greco-Roman,Reptile Remains,Funerary,397.jpg
RC-508 - Canopic Jar and Lid,Egyptian,,,,Limestone,Vessels,87.jpg
RC-1685 - Female Musician,Egyptian,,332 - 30 BCE,Ptolemaic,Bronze,Sculpture,517.jpg
RC-3066 - Predynastic beaker,Egyptian,,Predynastic,,Clay,Vessels,691.jpg
RC-3145 - Coin,Egyptian,PTOLEMY II,332-31 BCE,Ptolemaic,Copper,Coins,668.jpg
RC-3146 - Coin,Egyptian,PTOLEMY II,332-31 BCE,Ptolemaic,Copper,Coins,347.jpg
RC-3168 - Coin,Egyptian,PTOLEMY IV,332-31 BCE,Ptolemaic,Copper,Coins,89.jpg
RC-3192 - Coin,Egyptian,PTOLEMY V,332-31 BCE,Ptolemaic,Copper,Coins,45.jpg
RC-3442 - Coin,,MARCUS AURELIUS,31 BCE - 395 CE,Roman Period,Copper,Coins,441.jpg
RC-1598 - Clavus Fragment W/ Orbiculus,Egyptian,,,Coptic/Byzantine,Linen,Textiles,465.jpg
RC-2267 - Clavus Fragment,Egyptian,,,Coptic/Byzantine,Linen,Textiles,1028.jpg
RC-2275 - Orbiculus,Egyptian,,300-600 A.D,Coptic/Byzantine,Linen,Textiles,752.jpg
RC-2295 - Textile Fragment,Egyptian,,300-400 CE,Coptic/Byzantine,Linen,Textiles,652.jpg
RC-2298 - Panel Fragment,Egyptian,,300-400 CE,Coptic/Byzantine,Linen,Textiles,279.jpg
RC-2299 - Panel Fragment,Egyptian,,,Coptic/Byzantine,Linen,Textiles,568.jpg
RC-2306 - Orbiculus,Egyptian,,300-400 CE,Coptic/Byzantine,Linen,Textiles,434.jpg
RC-2318 - Panel Fragment,Egyptian,,900-1100 CE,Coptic/Byzantine,Linen,Textiles,318.jpg
RC-2319 - Textile Fragment,Egyptian,,400-500 CE,Coptic/Byzantine,Linen,Textiles,384.jpg
RC-1869 - Beetle Specimens - 3,,,MODERN,Modern,Dried Bugs,,296.jpg
RC-297 - Ptah,Egyptian,,,,Bronze,Sculpture,221.jpg
RC-251 - Rameses Ii Cartouche Fragment,Egyptian,,,,Granite,Epigraphy,64.jpg
RC-1727 - False Door with Ibis,Egyptian,,,,Limestone,Funerary,536.jpg
RC-5187 - Scarab,Egyptian,13TH,1784-1668 BCE,2nd Intermediate,Faience,Amulets,863.jpg
RC-5195 - Wedjat Eye,Egyptian,18TH,1570-1293 BCE,New Kingdom,Faience,Amulets,337.jpg
